task_name,university,school_year,course_name,course_code,credit,task_mode,task_type,task_weight_percent,due_date,due_time,time_required_hours,difficulty,current_date_(today),#_days_left,current_progress_percent,time_spent_hours,priority_level
Design and Prototyping Exercise,McMaster University,4,Human Computor Interfaces,SFERENG 4HC3,3,Individual,Assignment,15.0,2023-11-24,11:59 pm,12.0,4.0,2023-11-15,9,0.0,0.0,3
Proof of Concept Demonstration,McMaster University,4,Computer Science Capstone Project,COMPSCI 4ZP6A,6,Group,Project,10.0,2023-11-17,11:59 pm,14.0,5.0,2023-11-12,5,0.0,0.0,5
Assignment 3,McMaster University,4,Introduction to Machine Learning,COMPSCI 4ML3,3,Individual,Assignment,7.5,2023-11-18,11:59 pm,1.0,4.0,2023-11-12,6,90.0,7.0,4
Schematic Design,Toronto Metropolitan University,4,Integration Studio I,ASC520,3,Individual,Project,50.0,2023-12-07,12:00 pm,50.0,5.0,2023-11-13,24,0.0,0.0,3
Assignment 2,McMaster University,4,Human Computor Interfaces,SFWRENG 4HC3,3,Individual,Assigment,15.0,2023-11-27,11:59 pm,10.0,5.0,2023-11-13,14,0.0,0.0,2
Discussion #2,McMaster University,4,Regional Geography of Canada,ENVSOCTY 2OC3,3,Individual,Assigment,19.5,2023-11-20,11:59 pm,12.0,1.0,2023-11-13,7,20.0,3.0,5
Assignment 3,McMaster University,3,Scientific Computation,CIMPSCI 4XO3,3,Individual,Assigment,8.0,2023-11-15,11:59 pm,20.0,4.0,2023-11-13,2,0.0,0.0,5
Lab 4,McMaster University,2,Logic Design,COMPENG 2DI4,4,Group,Lab,6.0,2023-11-14,11:59 pm,7.0,3.0,2023-11-13,1,5.0,1.0,4
Assignment 5,McMaster University,4,Introduction to Quantum Computing ,ENGPHYS 4QC3,3,Individual,Assigment,6.0,2023-11-19,11:59 pm,3.0,3.0,2023-11-13,6,20.0,1.0,3
Lab 4,McMaster University,3,Electronic Devices and Circuits II,ELECENG 3EJ4,4,Individual,Lab,6.0,2023-11-17,11:59 pm,8.0,5.0,2023-11-13,4,0.0,0.0,5
Individual essay 2.1,University of Toronto ,4,Getting Medieval: Myths and Monsters,MST201,1,Individual,Assigment,15.0,2023-11-17,11:59 pm,25.0,3.0,2023-11-13,4,70.0,30.0,2
Group Assignment,Toronto Metropolitan University,4,Project Economics,ASC522,1,Hybrid,Assigment,40.0,2023-11-27,12:00 pm,8.0,3.0,2023-11-13,14,80.0,15.0,3
Assignment 3,McMaster University,4,Scientific Computation,COMPSCI 4X03,3,Individual,Assigment,8.0,2023-11-15,11:59 pm,5.0,4.0,2023-11-13,2,40.0,4.0,4
Test 2,McMaster University,4,Human Aging: Biological and Lifestyle Influences,KINESIOL 4SS3,3,Individual,Midterm Test,15.0,2023-11-16,11:59 pm,48.0,3.0,2023-11-13,3,0.0,0.0,3
Assignment 3,McMaster University,3,Principles of Programming Languages,COMPSCI 3MI3,3,Individual,Assigment,8.0,2023-11-20,11:59 pm,20.0,4.0,2023-11-13,7,0.0,0.0,2
Lab3,McMaster University,2,Principles of Programming,COMPENG 2SH4,4,Individual,Lab,5.0,2023-11-17,11:59 pm,20.0,5.0,2023-11-13,4,30.0,5.0,5
Report,McMaster University,4,Capstone Project,ENGPHYS 4A06,6,Group,Report,20.0,2023-11-24,11:59 pm,10.0,3.0,2023-11-13,11,0.0,0.0,2
Quiz 7,McMaster University,3,Introduction to the Practice of Music Therapy,MUSIC 2MT3,3,Individual,Quiz,5.0,2023-11-16,11:59 pm,0.5,2.0,2023-11-13,3,0.0,0.0,2
Group project ,University of Toronto ,4,Sustainable Finance,RSM 436,1,Group,Project,40.0,2023-11-17,11:59 pm,25.0,3.0,2023-11-13,4,50.0,5.0,4
Assignment 3,University of Toronto ,4,Information Security ,COMPSCI 3IS3,3,Individual,Assigment,20.0,2023-11-12,11:59 pm,1.0,4.0,2023-11-11,1,80.0,2.0,5
Assignment 3,University of Toronto ,4,Scientific Computation ,SFWRENG 4X03,3,Individual,Assigment,10.0,2023-11-15,11:59 pm,0.0,5.0,2023-11-14,1,100.0,6.0,1
Paper Presentation,University of Toronto ,6,Theoretical Foundations of Unsupervised Learning,CAS 775,3,Individual,Presentation,45.0,2023-11-22,11:59 pm,10.0,5.0,2023-11-14,8,30.0,3.0,4
Topic Presentation,University of Toronto ,6,(Micro)service-oriented architectures,CAS 735,3,Group,Presentation,20.0,2023-11-23,11:59 pm,7.0,3.0,2023-11-14,9,10.0,1.0,4
Assignment 1,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Assignment,10.0,2023-10-10,11:59 pm,2.0,2.0,2023-10-02,8,20.0,0.5,4
Assignment 2,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Assignment,10.0,2023-10-30,11:59 pm,0.33,4.0,2023-10-27,3,90.0,2.5,4
Assignment 3,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Assignment,20.0,2023-11-12,11:59 pm,3.0,5.0,2023-11-05,7,100.0,0.0,4
Quiz 1,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Quiz,1.0,2023-11-06,11:59 pm,0.1,3.0,2023-11-06,1,0.0,0.0,2
Quiz 2,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Quiz,1.0,2023-11-09,11:59 pm,0.1,3.0,2023-11-09,1,0.0,0.0,2
Quiz 3,McMaster University,5,Information Security,COMPSCI 3IS3,3,Individual,Quiz,1.0,2023-11-13,11:59 pm,0.1,3.0,2023-11-13,1,0.0,0.0,2
